date,megawatthours
2015-07-01 05:00:00,162827
2015-07-01 06:00:00,335153
2015-07-01 07:00:00,333837
2015-07-01 08:00:00,398386
2015-07-01 09:00:00,388954
2015-07-01 10:00:00,392487
2015-07-01 11:00:00,404647
2015-07-01 12:00:00,422227
2015-07-01 13:00:00,442131
2015-07-01 14:00:00,464371
2015-07-01 15:00:00,491512
2015-07-01 16:00:00,518043
2015-07-01 17:00:00,540514
2015-07-01 18:00:00,560701
2015-07-01 19:00:00,576400
2015-07-01 20:00:00,587405
2015-07-01 21:00:00,594477
2015-07-01 22:00:00,595242
2015-07-01 23:00:00,586317
2015-07-02 00:00:00,572656
2015-07-02 01:00:00,554682
2015-07-02 02:00:00,543332
2015-07-02 03:00:00,520871
2015-07-02 04:00:00,485722
2015-07-02 05:00:00,453284
2015-07-02 06:00:00,429199
2015-07-02 07:00:00,407007
2015-07-02 08:00:00,395194
2015-07-02 09:00:00,387654
2015-07-02 10:00:00,390157
2015-07-02 11:00:00,401643
2015-07-02 12:00:00,417369
2015-07-02 13:00:00,437741
2015-07-02 14:00:00,459562
2015-07-02 15:00:00,485186
2015-07-02 16:00:00,509369
2015-07-02 17:00:00,529809
2015-07-02 18:00:00,546611
2015-07-02 19:00:00,558445
2015-07-02 20:00:00,565833
2015-07-02 21:00:00,569351
2015-07-02 22:00:00,569616
2015-07-02 23:00:00,561747
2015-07-03 00:00:00,549867
2015-07-03 01:00:00,533110
2015-07-03 02:00:00,522864
2015-07-03 03:00:00,501272
2015-07-03 04:00:00,470322
2015-07-03 05:00:00,440084
2015-07-03 06:00:00,415203
2015-07-03 07:00:00,394227
2015-07-03 08:00:00,383147
2015-07-03 09:00:00,373941
2015-07-03 10:00:00,371552
2015-07-03 11:00:00,373312
2015-07-03 12:00:00,380160
2015-07-03 13:00:00,396051
2015-07-03 14:00:00,418789
2015-07-03 15:00:00,444329
2015-07-03 16:00:00,466734
2015-07-03 17:00:00,487268
2015-07-03 18:00:00,504422
2015-07-03 19:00:00,518545
2015-07-03 20:00:00,528781
2015-07-03 21:00:00,536381
2015-07-03 22:00:00,539823
2015-07-03 23:00:00,534988
2015-07-04 00:00:00,523996
2015-07-04 01:00:00,510066
2015-07-04 02:00:00,500554
2015-07-04 03:00:00,482726
2015-07-04 04:00:00,455366
2015-07-04 05:00:00,428928
2015-07-04 06:00:00,403685
2015-07-04 07:00:00,384331
2015-07-04 08:00:00,373639
2015-07-04 09:00:00,363002
2015-07-04 10:00:00,357789
2015-07-04 11:00:00,355088
2015-07-04 12:00:00,356956
2015-07-04 13:00:00,371087
2015-07-04 14:00:00,396040
2015-07-04 15:00:00,423956
2015-07-04 16:00:00,450542
2015-07-04 17:00:00,472985
2015-07-04 18:00:00,490561
2015-07-04 19:00:00,502921
2015-07-04 20:00:00,512645
2015-07-04 21:00:00,519700
2015-07-04 22:00:00,521413
2015-07-04 23:00:00,515522
2015-07-05 00:00:00,501977
2015-07-05 01:00:00,482706
2015-07-05 02:00:00,469315
2015-07-05 03:00:00,454492
2015-07-05 04:00:00,436638
2015-07-05 05:00:00,414372
2015-07-05 06:00:00,391943
2015-07-05 07:00:00,374853
2015-07-05 08:00:00,366221
2015-07-05 09:00:00,357581
2015-07-05 10:00:00,352403
2015-07-05 11:00:00,348599
2015-07-05 12:00:00,351157
2015-07-05 13:00:00,368197
2015-07-05 14:00:00,393860
2015-07-05 15:00:00,423719
2015-07-05 16:00:00,452969
2015-07-05 17:00:00,480469
2015-07-05 18:00:00,503990
2015-07-05 19:00:00,521951
2015-07-05 20:00:00,535678
2015-07-05 21:00:00,545454
2015-07-05 22:00:00,550003
2015-07-05 23:00:00,547755
2015-07-06 00:00:00,538399
2015-07-06 01:00:00,524023
2015-07-06 02:00:00,515913
2015-07-06 03:00:00,497970
2015-07-06 04:00:00,467812
2015-07-06 05:00:00,438224
2015-07-06 06:00:00,414590
2015-07-06 07:00:00,395547
2015-07-06 08:00:00,386688
2015-07-06 09:00:00,380838
2015-07-06 10:00:00,385464
2015-07-06 11:00:00,398533
2015-07-06 12:00:00,420832
2015-07-06 13:00:00,446871
2015-07-06 14:00:00,474788
2015-07-06 15:00:00,506007
2015-07-06 16:00:00,536868
2015-07-06 17:00:00,563797
2015-07-06 18:00:00,589744
2015-07-06 19:00:00,605239
2015-07-06 20:00:00,615340
2015-07-06 21:00:00,621261
2015-07-06 22:00:00,623522
2015-07-06 23:00:00,615818
2015-07-07 00:00:00,601361
2015-07-07 01:00:00,581218
2015-07-07 02:00:00,568149
2015-07-07 03:00:00,542142
2015-07-07 04:00:00,505672
2015-07-07 05:00:00,470729
2015-07-07 06:00:00,442811
2015-07-07 07:00:00,420969
2015-07-07 08:00:00,409642
2015-07-07 09:00:00,402985
2015-07-07 10:00:00,407068
2015-07-07 11:00:00,421136
2015-07-07 12:00:00,441560
2015-07-07 13:00:00,464681
2015-07-07 14:00:00,491014
2015-07-07 15:00:00,520354
2015-07-07 16:00:00,548163
2015-07-07 17:00:00,569321
2015-07-07 18:00:00,586642
2015-07-07 19:00:00,597474
2015-07-07 20:00:00,603058
2015-07-07 21:00:00,604647
2015-07-07 22:00:00,603780
2015-07-07 23:00:00,595497
2015-07-08 00:00:00,581339
2015-07-08 01:00:00,564321
2015-07-08 02:00:00,553340
2015-07-08 03:00:00,528957
2015-07-08 04:00:00,494752
2015-07-08 05:00:00,462961
2015-07-08 06:00:00,437583
2015-07-08 07:00:00,416753
2015-07-08 08:00:00,405718
2015-07-08 09:00:00,399035
2015-07-08 10:00:00,402850
2015-07-08 11:00:00,416976
2015-07-08 12:00:00,434829
2015-07-08 13:00:00,456051
2015-07-08 14:00:00,478751
2015-07-08 15:00:00,505965
2015-07-08 16:00:00,531366
2015-07-08 17:00:00,552901
2015-07-08 18:00:00,569979
2015-07-08 19:00:00,583083
2015-07-08 20:00:00,589376
2015-07-08 21:00:00,591145
2015-07-08 22:00:00,589491
2015-07-08 23:00:00,583168
2015-07-09 00:00:00,572032
2015-07-09 01:00:00,556190
2015-07-09 02:00:00,546810
2015-07-09 03:00:00,523743
2015-07-09 04:00:00,490385
2015-07-09 05:00:00,459870
2015-07-09 06:00:00,434165
2015-07-09 07:00:00,413711
2015-07-09 08:00:00,402481
2015-07-09 09:00:00,395743
2015-07-09 10:00:00,400413
2015-07-09 11:00:00,415287
2015-07-09 12:00:00,433812
2015-07-09 13:00:00,455226
2015-07-09 14:00:00,479933
2015-07-09 15:00:00,508105
2015-07-09 16:00:00,535096
2015-07-09 17:00:00,557013
2015-07-09 18:00:00,576290
2015-07-09 19:00:00,590510
2015-07-09 20:00:00,600423
2015-07-09 21:00:00,606757
2015-07-09 22:00:00,607992
2015-07-09 23:00:00,600910
2015-07-10 00:00:00,587071
2015-07-10 01:00:00,568610
2015-07-10 02:00:00,555377
2015-07-10 03:00:00,531088
2015-07-10 04:00:00,497102
2015-07-10 05:00:00,464134
2015-07-10 06:00:00,439444
2015-07-10 07:00:00,416798
2015-07-10 08:00:00,404413
2015-07-10 09:00:00,396409
2015-07-10 10:00:00,399157
2015-07-10 11:00:00,410814
2015-07-10 12:00:00,429427
2015-07-10 13:00:00,452385
2015-07-10 14:00:00,480259
2015-07-10 15:00:00,510769
